*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Taito_do_Brasil_Arcade_Bootleg_v1.1
*Date=17:50:25
*CreatedBy=Fritzing 0.9.6b..0.9.6
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
97;;THT;84.6482;-108.504;180;Bottom;+5V
98;;;2.45605;-85.9809;0;Bottom;Via2
99;10k;THT;71.636;-51.4808;0;Bottom;R10
100;;THT;110.056;-93.9908;0;Bottom;SW1
101;;;40.5237;-9.55201;0;Bottom;Via46
102;;THT;75.286;-70.1809;-90;Bottom;On Board Power
103;;;69.756;-54.8809;0;Bottom;Via29
104;;;100.556;-116.181;0;Bottom;Via28
105;;;42.0559;-83.8809;0;Bottom;Via12
106;22pF;100 mil [THT, multilayer];101.256;-4.45555;90;Bottom;22pFx2
107;5V;TO220 [THT];99.4493;-109.392;90;Bottom;LM7805
108;;;100.456;-55.7809;0;Bottom;Via33
109;;;45.3215;-5.45979;0;Bottom;Via45
110;;THT;42.126;-78.0808;-90;Bottom;J5
111;;dip;103.946;-31.6508;0;Bottom;Audio MCU #2
112;680;THT;75.7562;-108.501;-90;Bottom;680R2
113;22pF;100 mil [THT, multilayer];27.7262;-86.3807;0;Bottom;C4
114;;;112.224;-9.04562;0;Bottom;TXT10
115;;;57.7113;-115.555;-90;Bottom;TXT6
116;;;38.4776;-12.1626;0;Bottom;Via43
117;;;44.7559;-101.981;0;Bottom;Via16
118;;;22.056;-88.6809;0;Bottom;Via9
119;;;2.45607;-112.981;0;Bottom;Hole6
120;1k;THT;6.65607;-20.4008;90;Bottom;R14
121;;;58.7644;-86.1261;-90;Bottom;ESP32 Devkit V1
122;;;76.456;-116.681;0;Bottom;Via8
123;;dip;14.0461;-87.1109;180;Bottom;Controlers MCU
124;;;76.0561;-55.7809;0;Bottom;Via31
125;;;85.156;-114.281;0;Bottom;Via47
126;2k;THT;80.5362;-63.4809;0;Bottom;R7
127;;;22.8073;-31.7987;0;Bottom;IMG2
128;;;98.7031;-86.4726;0;Bottom;IMG1
129;10k;THT;103.636;-51.4808;0;Bottom;R9
130;;;61.6751;-115.901;-90;Bottom;TXT6
131;;;74.5882;-115.837;-90;Bottom;TXT6
132;;;89.56;-110.235;0;Bottom;TXT4
